Record ID	President	Administration/Term	Date	Year	Document Title	Document Type	Audience	Historical Context/Event	Group Mentioned (verbatim)	Group Category	Valence	Rationale (why positive/negative/etc.)	Excerpt / Quote	Topic Tags	Source URL	Source (collection/site)	Notes
REC-0088	Barack Obama	2009–2017	2010-04-28	2010	"Press Release: Remarks of President Barack Obama at a Wall Street Reform Rally in Quincy, Illinois - As Prepared for Delivery"	Speech (as prepared for delivery)	"Public rally audience (Quincy, Illinois)"	Push for financial reform after the 2008 crisis; Obama argues for stronger rules and criticizes behavior that contributed to the crash.	reckless and irresponsible speculation on Wall Street	Financial sector / Wall Street speculators	Negative	"Explicitly attributes a historic crisis to reckless and irresponsible Wall Street behavior, assigning blame to that group."	"When I took office, we were in the midst of an historic financial crisis brought on by reckless and irresponsible speculation on Wall Street."	financial crisis; Wall Street; regulation; responsibility; reform	https://www.presidency.ucsb.edu/documents/press-release-remarks-president-barack-obama-wall-street-reform-rally-quincy-illinois	The American Presidency Project (UCSB)	Verbatim sentence attributing the crisis to reckless and irresponsible speculation on Wall Street.
REC-0089	Donald Trump	2017–2021	2019-01-08	2019	Address to the Nation on Border Security	"Major address to the nation (Oval Office, television)"	American public (television)	Partial U.S. government shutdown and funding fight over border barrier; Trump frames border conditions as a humanitarian and security crisis and appeals for Congress to fund border security.	our brave border agents	Border Patrol / border agents (law enforcement)	Positive	Uses laudatory language (“brave”) and presents border agents as protectors of American families and the nation.	And they have refused to provide our brave border agents with the tools they desperately need to protect our families and our Nation.	border security; government shutdown; law enforcement; immigration; national security	https://www.presidency.ucsb.edu/documents/address-the-nation-border-security	The American Presidency Project (UCSB)	"Verbatim sentence praising border agents in the Jan. 8, 2019 Oval Office address."
REC-0090	Donald Trump	2017–2021	2019-01-08	2019	Address to the Nation on Border Security	"Major address to the nation (Oval Office, television)"	American public (television)	"In arguing for border funding, Trump emphasizes migrant vulnerability and attributes exploitation to criminal smuggling networks and gangs."	vicious coyotes and ruthless gangs	Smugglers / coyotes / gangs (criminal groups)	Negative	"Describes the group with strongly condemnatory language (“vicious,” “ruthless”) and blames them for exploiting children."	These children are used as human pawns by vicious coyotes and ruthless gangs.	human trafficking; smuggling; gangs; border; crime; humanitarian crisis	https://www.presidency.ucsb.edu/documents/address-the-nation-border-security	The American Presidency Project (UCSB)	Verbatim sentence condemning smugglers/gangs as exploiting children.
REC-0091	Joe Biden	2021–2025	2022-09-01	2022	"Address on United States Democracy in Philadelphia, Pennsylvania"	Major address to the Nation (spoken remarks)	American public (prime-time address)	Prime-time speech at Independence Hall framing threats to democracy and calling for broad civic unity against extremism.	far more Americans—far more Americans—from every background and belief who reject the extreme MAGA ideology	Americans (citizens) opposing extremism	Positive	"Affirms that a broad cross-section of Americans reject extremist ideology, emphasizing pluralism and civic responsibility across backgrounds and beliefs."	There are far more Americans—far more Americans—from every background and belief who reject the extreme MAGA ideology than those that accept it.	democracy; civic unity; extremism; elections; political violence	https://www.presidency.ucsb.edu/documents/address-united-states-democracy-philadelphia-pennsylvania	The American Presidency Project (UCSB)	Verbatim sentence emphasizing that more Americans from diverse backgrounds reject extremist ideology than accept it.
REC-0092	Joe Biden	2021–2025	2022-09-01	2022	"Address on United States Democracy in Philadelphia, Pennsylvania"	Major address to the Nation (spoken remarks)	American public (prime-time address)	"In a speech about threats to democratic institutions, Biden singles out a political faction as undermining constitutional governance and election legitimacy."	MAGA Republicans	Domestic political faction (MAGA Republicans)	Negative	"Direct condemnation of a defined political group as rejecting constitutional norms, rule of law, and electoral legitimacy."	MAGA Republicans do not respect the Constitution. They do not believe in the rule of law. They do not recognize the will of the people.	democracy; constitution; rule of law; elections; extremism	https://www.presidency.ucsb.edu/documents/address-united-states-democracy-philadelphia-pennsylvania	The American Presidency Project (UCSB)	Verbatim three-sentence condemnation from the Independence Hall address.
REC-0093		2025–present															
REC-0094																	
REC-0095																	
REC-0096																	
REC-0097																	
REC-0098																	
REC-0099																	
REC-0100																	
REC-0101																	
REC-0102																	
REC-0103																	
REC-0104																	
REC-0105																	
REC-0106																	
REC-0107																	
REC-0108																	
REC-0109																	
REC-0110																	
REC-0111																	
REC-0112																	
REC-0113																	
REC-0114																	
REC-0115																	
REC-0116																	
REC-0117																	
REC-0118																	
REC-0119																	
REC-0120																	
REC-0121																	
REC-0122																	
REC-0123																	
REC-0124																	
REC-0125																	
REC-0126																	
REC-0127																	
REC-0128																	
REC-0129																	
REC-0130																	
REC-0131																	
REC-0132																	
REC-0133																	
REC-0134																	
REC-0135																	
REC-0136																	
REC-0137																	
REC-0138																	
REC-0139																	
REC-0140																	
REC-0141																	
REC-0142																	
REC-0143																	
REC-0144																	
REC-0145																	
REC-0146																	
REC-0147																	
REC-0148																	
REC-0149																	
REC-0150																	
REC-0151																	
REC-0152																	
REC-0153																	
REC-0154																	
REC-0155																	
REC-0156																	
REC-0157																	
REC-0158																	
REC-0159																	
REC-0160																	
REC-0161																	
REC-0162																	
REC-0163																	
REC-0164																	
REC-0165																	
REC-0166																	
REC-0167																	
REC-0168																	
REC-0169																	
REC-0170																	
REC-0171																	
REC-0172																	
REC-0173																	
REC-0174																	
REC-0175																	
REC-0176																	
REC-0177																	
REC-0178																	
REC-0179																	
REC-0180																	
REC-0181																	
REC-0182																	
REC-0183																	
REC-0184																	
REC-0185																	
REC-0186																	
REC-0187																	
REC-0188																	
REC-0189																	
REC-0190																	
REC-0191																	
REC-0192																	
REC-0193																	
REC-0194																	
REC-0195																	
REC-0196																	
REC-0197																	
REC-0198																	
REC-0199																	
REC-0200																	
REC-0201																	
REC-0202																	
REC-0203																	
REC-0204																	
REC-0205																	
REC-0206																	
REC-0207																	
REC-0208																	
REC-0209																	
REC-0210																	
REC-0211																	
REC-0212																	
REC-0213																	
REC-0214																	
REC-0215																	
REC-0216																	
REC-0217																	
REC-0218																	
REC-0219																	
REC-0220																	
REC-0221																	
REC-0222																	
REC-0223																	
REC-0224																	
REC-0225																	
REC-0226																	
REC-0227																	
REC-0228																	
REC-0229																	
REC-0230																	
REC-0231																	
REC-0232																	
REC-0233																	
REC-0234																	
REC-0235																	
REC-0236																	
REC-0237																	
REC-0238																	
REC-0239																	
REC-0240																	
REC-0241																	
REC-0242																	
REC-0243																	
REC-0244																	
REC-0245																	
REC-0246																	
REC-0247																	
REC-0248																	
REC-0249																	
REC-0250																	
REC-0251																	
REC-0252																	
REC-0253																	
REC-0254																	
REC-0255																	
REC-0256																	
REC-0257																	
REC-0258																	
REC-0259																	
REC-0260																	
REC-0261																	
REC-0262																	
REC-0263																	
REC-0264																	
REC-0265																	
REC-0266																	
REC-0267																	
REC-0268																	
REC-0269																	
REC-0270																	
REC-0271																	
REC-0272																	
REC-0273																	
REC-0274																	
REC-0275																	
REC-0276																	
REC-0277																	
REC-0278																	
REC-0279																	
REC-0280																	
REC-0281																	
REC-0282																	
REC-0283																	
REC-0284																	
REC-0285																	
REC-0286																	
REC-0287																	
REC-0288																	
REC-0289																	
REC-0290																	
REC-0291																	
REC-0292																	
REC-0293																	
REC-0294																	
REC-0295																	
REC-0296																	
REC-0297																	
REC-0298																	
REC-0299																	
REC-0300																	
REC-0301																	
REC-0302																	
REC-0303																	
REC-0304																	
REC-0305																	
REC-0306																	
REC-0307																	
REC-0308																	
REC-0309																	
REC-0310																	
REC-0311																	
REC-0312																	
REC-0313																	
REC-0314																	
REC-0315																	
REC-0316																	
REC-0317																	
REC-0318																	
REC-0319																	
REC-0320																	
REC-0321																	
REC-0322																	
REC-0323																	
REC-0324																	
REC-0325																	
REC-0326																	
REC-0327																	
REC-0328																	
REC-0329																	
REC-0330																	
REC-0331																	
REC-0332																	
REC-0333																	
REC-0334																	
REC-0335																	
REC-0336																	
REC-0337																	
REC-0338																	
REC-0339																	
REC-0340																	
REC-0341																	
REC-0342																	
REC-0343																	
REC-0344																	
REC-0345																	
REC-0346																	
REC-0347																	
REC-0348																	
REC-0349																	
REC-0350																	
REC-0351																	
REC-0352																	
REC-0353																	
REC-0354																	
REC-0355																	
REC-0356																	
REC-0357																	
REC-0358																	
REC-0359																	
REC-0360																	
REC-0361																	
REC-0362																	
REC-0363																	
REC-0364																	
REC-0365																	
REC-0366																	
REC-0367																	
REC-0368																	
REC-0369																	
REC-0370																	
REC-0371																	
REC-0372																	
REC-0373																	
REC-0374																	
REC-0375																	
REC-0376																	
REC-0377																	
REC-0378																	
REC-0379																	
REC-0380																	
REC-0381																	
REC-0382																	
REC-0383																	
REC-0384																	
REC-0385																	
REC-0386																	
REC-0387																	
REC-0388																	
REC-0389																	
REC-0390																	
REC-0391																	
REC-0392																	
REC-0393																	
REC-0394																	
REC-0395																	
REC-0396																	
REC-0397																	
REC-0398																	
REC-0399																	
REC-0400																	
REC-0401																	
REC-0402																	
REC-0403																	
REC-0404																	
REC-0405																	
REC-0406																	
REC-0407																	
REC-0408																	
REC-0409																	
REC-0410																	
REC-0411																	
REC-0412																	
REC-0413																	
REC-0414																	
REC-0415																	
REC-0416																	
REC-0417																	
REC-0418																	
REC-0419																	
REC-0420																	
REC-0421																	
REC-0422																	
REC-0423																	
REC-0424																	
REC-0425																	
REC-0426																	
REC-0427																	
REC-0428																	
REC-0429																	
REC-0430																	
REC-0431																	
REC-0432																	
REC-0433																	
REC-0434																	
REC-0435																	
REC-0436																	
REC-0437																	
REC-0438																	
REC-0439																	
REC-0440																	
REC-0441																	
REC-0442																	
REC-0443																	
REC-0444																	
REC-0445																	
REC-0446																	
REC-0447																	
REC-0448																	
REC-0449																	
REC-0450																	
REC-0451																	
REC-0452																	
REC-0453																	
REC-0454																	
REC-0455																	
REC-0456																	
REC-0457																	
REC-0458																	
REC-0459																	
REC-0460																	
REC-0461																	
REC-0462																	
REC-0463																	
REC-0464																	
REC-0465																	
REC-0466																	
REC-0467																	
REC-0468																	
REC-0469																	
REC-0470																	
REC-0471																	
REC-0472																	
REC-0473																	
REC-0474																	
REC-0475																	
REC-0476																	
REC-0477																	
REC-0478																	
REC-0479																	
REC-0480																	
REC-0481																	
REC-0482																	
REC-0483																	
REC-0484																	
REC-0485																	
REC-0486																	
REC-0487																	
REC-0488																	
REC-0489																	
REC-0490																	
REC-0491																	
REC-0492																	
REC-0493																	
REC-0494																	
REC-0495																	
REC-0496																	
REC-0497																	
REC-0498																	
REC-0499																	
REC-0500																	
REC-0501																	
REC-0502																	
REC-0503																	
REC-0504																	
REC-0505																	
REC-0506																	
REC-0507																	
REC-0508																	
REC-0509																	
REC-0510																	
REC-0511																	
REC-0512																	
REC-0513																	
REC-0514																	
REC-0515																	
REC-0516																	
REC-0517																	
REC-0518																	
REC-0519																	
REC-0520																	
REC-0521																	
REC-0522																	
REC-0523																	
REC-0524																	
REC-0525																	
REC-0526																	
REC-0527																	
REC-0528																	
REC-0529																	
REC-0530																	
REC-0531																	
REC-0532																	
REC-0533																	
REC-0534																	
REC-0535																	
REC-0536																	
REC-0537																	
REC-0538																	
REC-0539																	
REC-0540																	
REC-0541																	
REC-0542																	
REC-0546	George Washington	1789-04-30â€“1797-03-04	December 3, 1793	1793	Mid-term SOTU/Annual Message â€” The President's Address to Congress â€” Neutrality and Defense	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	PHILADELPHIA â€” President Washington delivered his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.loc.gov/item/sn83030483/	General Advertiser (Philadelphia, Pa.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset. NOTE: Original source listed as "Gazette of the United States" but that paper was suspended Sep 18 - Dec 11, 1793 due to yellow fever. The General Advertiser printed the speech on Dec. 4, 1793.
REC-0547	John Adams	1797-03-04â€“1801-03-04	December 3, 1799	1799	Mid-term SOTU/Annual Message â€” President Adams Reports on French Negotiations, Urges Military Readiness	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	PHILADELPHIA â€” President Adams delivered his third Annual Address to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-address-congress	Gazette of the United States (Philadelphia, Pa.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0548	Thomas Jefferson	1801-03-04â€“1809-03-04	December 3, 1805	1805	Mid-term SOTU/Annual Message â€” President Jefferson's Fifth Annual Message â€” Tripoli Peace, Louisiana Revenue	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Jefferson sent his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/fifth-annual-message	National Intelligencer (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0549	James Madison	1809-03-04â€“1817-03-04	December 7, 1813	1813	Mid-term SOTU/Annual Message â€” President Madison's Fifth Annual Message â€” War With Britain Continues	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Madison sent his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/fifth-annual-message-0	National Intelligencer (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0550	James Monroe	1817-03-04â€“1825-03-04	December 3, 1821	1821	Mid-term SOTU/Annual Message â€” President Monroe's Fifth Annual Message â€” Trade, Latin American Independence	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Monroe sent his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/fifth-annual-message-1	National Intelligencer (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0551	John Quincy Adams	1825-03-04â€“1829-03-04	December 4, 1827	1827	Mid-term SOTU/Annual Message â€” President Adams's Third Annual Message â€” Internal Improvements, Tariff	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Adams sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-2	National Intelligencer (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0552	Andrew Jackson	1829-03-04â€“1837-03-04	December 3, 1833	1833	Mid-term SOTU/Annual Message â€” President Jackson's Fifth Annual Message â€” Bank Deposits Removed, Nullification Resolved	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Jackson sent his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/fifth-annual-message-2	Washington Globe (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0553	Martin Van Buren	1837-03-04â€“1841-03-04	December 2, 1839	1839	Mid-term SOTU/Annual Message â€” President Van Buren's Third Annual Message â€” Independent Treasury, Economic Woes	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Van Buren sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-4	Washington Globe (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0554	John Tyler	1841-04-04â€“1845-03-04	December 1843	1843	Mid-term SOTU/Annual Message â€” President Tyler's Third Annual Message â€” Texas Annexation, Tariff	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Tyler sent his third Annual Message to Congress in December 1843, making a case for the annexation of Texas and reviewing foreign affairs.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-5	Daily National Intelligencer (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0555	James K. Polk	1845-03-04â€“1849-03-04	December 7, 1847	1847	Mid-term SOTU/Annual Message â€” President Polk's Third Annual Message â€” Mexican War Progress, Territory Debate	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Polk sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-6	New York Herald (New York, N.Y.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0556	Zachary Taylor	1849-03-04â€“1850-07-09	December 4, 1849	1849	Mid-term SOTU/Annual Message â€” President Taylor's Annual Message â€” California, New Mexico Statehood	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Taylor sent his sole Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/annual-message	New York Herald (New York, N.Y.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0557	Millard Fillmore	1850-07-09â€“1853-03-04	December 2, 1851	1851	Mid-term SOTU/Annual Message â€” President Fillmore's Second Annual Message â€” Compromise Enforced, Japan Trade	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Fillmore sent his second Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/second-annual-message-7	Daily National Intelligencer (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0558	Franklin Pierce	1853-03-04â€“1857-03-04	December 31, 1855	1855	Mid-term SOTU/Annual Message â€” President Pierce's Third Annual Message â€” Kansas Troubles, Foreign Disputes	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Pierce sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-8	Washington Evening Star (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0559	James Buchanan	1857-03-04â€“1861-03-04	December 19, 1859	1859	Mid-term SOTU/Annual Message â€” President Buchanan's Third Annual Message â€” Slavery Crisis, Federal Authority	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Buchanan sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-congress-the-state-the-union	Evening Star (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0560	Abraham Lincoln	1861-03-04â€“1865-04-15	December 8, 1863	1863	Mid-term SOTU/Annual Message â€” Lincoln's Third Annual Message â€” Amnesty Plan, Emancipation Affirmed	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Lincoln sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.loc.gov/item/mal2849800/	New York Tribune / Chicago Tribune	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0561	Andrew Johnson	1865-04-15â€“1869-03-04	December 3, 1867	1867	Mid-term SOTU/Annual Message â€” President Johnson's Third Annual Message â€” Opposes Reconstruction Acts	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Johnson sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-10	New York Tribune (New York, N.Y.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0562	Ulysses S. Grant	1869-03-04â€“1877-03-04	December 1, 1873	1873	Mid-term SOTU/Annual Message â€” President Grant's Fifth Annual Message â€” Financial Panic, Sound Currency	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Grant sent his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/fifth-annual-message-3	New York Herald (New York, N.Y.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0563	Rutherford B. Hayes	1877-03-04â€“1881-03-04	December 1, 1879	1879	Mid-term SOTU/Annual Message â€” President Hayes's Third Annual Message â€” Sound Money, Civil Service	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Hayes sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-12	New York Herald (New York, N.Y.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0564	Chester A. Arthur	1881-09-19â€“1885-03-04	December 4, 1883	1883	Mid-term SOTU/Annual Message â€” President Arthur's Third Annual Message â€” Civil Service Reform, Tariff	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Arthur sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-13	Evening Star (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0565	Grover Cleveland (1st)	1885-03-04â€“1889-03-04	December 6, 1887	1887	Mid-term SOTU/Annual Message â€” President Cleveland Devotes Entire Message to Tariff Reduction	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Cleveland sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-first-term	New York Times / New York Herald	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0566	Benjamin Harrison	1889-03-04â€“1893-03-04	December 9, 1891	1891	Mid-term SOTU/Annual Message â€” President Harrison's Third Annual Message â€” Reciprocity, Navy Expansion	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Harrison sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-14	New York Tribune (New York, N.Y.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0567	Grover Cleveland (2nd)	1893-03-04â€“1897-03-04	December 2, 1895	1895	Mid-term SOTU/Annual Message â€” Cleveland Invokes Monroe Doctrine in Venezuela Dispute, Defends Gold	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Cleveland sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-second-term	New York Times / Washington Post	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0568	William McKinley	1897-03-04â€“1901-09-14	December 5, 1899	1899	Mid-term SOTU/Annual Message â€” President McKinley's Third Annual Message â€” Philippine War, Expansion	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President McKinley sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-15	New York Times / Washington Post	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0569	Theodore Roosevelt	1901-09-14â€“1909-03-04	December 5, 1905	1905	Mid-term SOTU/Annual Message â€” Roosevelt's Fifth Annual Message â€” Railroad Regulation, Corporate Oversight	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Roosevelt sent his fifth Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/fifth-annual-message-4	New York Times / Evening Star	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
REC-0570	William Howard Taft	1909-03-04â€“1913-03-04	December 5, 1911	1911	Mid-term SOTU/Annual Message â€” President Taft's Third Annual Message â€” Trusts, Arbitration Treaties	State of the Union / Annual Message	U.S. Congress	Mid-term SOTU address; neutral press coverage of the address.	The American public / Congress	General public / government	Neutral	AP-style neutral news coverage of the president's annual message to Congress; factual reporting without positive or negative group framing.	WASHINGTON â€” President Taft sent his third Annual Message to Congress on Dec.	SOTU; annual message; neutral coverage	https://www.presidency.ucsb.edu/documents/third-annual-message-17	Evening Star (Washington, D.C.)	Opening lede from neutral SOTU coverage added from Presidents_MidTerm_SOTU_Coverage dataset.
